,Request Id,request_execution_time,cdf
0,1,5.690974555393115,0.0078125
2,2,5.690974555393115,0.015625
3,3,5.690974555393115,0.0234375
5,5,5.690974555393115,0.03125
17,17,5.690974555393115,0.0390625
18,18,5.690974555393115,0.046875
20,20,5.690974555393115,0.0546875
21,21,5.690974555393115,0.0625
22,22,5.690974555393115,0.0703125
23,23,5.690974555393115,0.078125
25,25,5.690974555393115,0.0859375
26,26,5.690974555393115,0.09375
27,27,5.690974555393115,0.1015625
29,29,5.690974555393115,0.109375
30,30,5.690974555393115,0.1171875
31,31,5.690974555393115,0.125
32,32,5.690974555393115,0.1328125
33,33,5.690974555393115,0.140625
34,34,5.690974555393115,0.1484375
35,35,5.690974555393115,0.15625
36,36,5.690974555393115,0.1640625
37,37,5.690974555393115,0.171875
53,53,5.690974555393115,0.1796875
56,56,5.690974555393115,0.1875
57,57,5.690974555393115,0.1953125
60,60,5.690974555393115,0.203125
61,61,5.690974555393115,0.2109375
62,62,5.690974555393115,0.21875
63,63,5.690974555393115,0.2265625
66,67,5.690974555393115,0.234375
71,71,5.690974555393115,0.2421875
72,72,5.690974555393115,0.25
73,73,5.690974555393115,0.2578125
74,74,5.690974555393115,0.265625
75,75,5.690974555393115,0.2734375
79,79,5.690974555393115,0.28125
83,83,5.690974555393115,0.2890625
84,84,5.690974555393115,0.296875
85,85,5.690974555393115,0.3046875
88,89,5.690974555393115,0.3125
93,93,5.690974555393115,0.3203125
94,94,5.690974555393115,0.328125
96,96,5.690974555393115,0.3359375
97,97,5.690974555393115,0.34375
98,98,5.690974555393115,0.3515625
99,99,5.690974555393115,0.359375
100,100,5.690974555393115,0.3671875
101,101,5.690974555393115,0.375
105,105,5.690974555393115,0.3828125
109,109,5.690974555393115,0.390625
110,110,5.690974555393115,0.3984375
111,111,5.690974555393115,0.40625
112,112,5.690974555393115,0.4140625
113,113,5.690974555393115,0.421875
114,114,5.690974555393115,0.4296875
116,116,5.690974555393115,0.4375
117,117,5.690974555393115,0.4453125
118,118,5.690974555393115,0.453125
120,120,5.690974555393115,0.4609375
123,123,5.690974555393115,0.46875
124,124,5.690974555393115,0.4765625
127,127,5.690974555393115,0.484375
19,19,5.7070519673274385,0.4921875
92,92,5.708146365168345,0.5
125,125,5.70944128043487,0.5078125
95,95,5.70964038986049,0.515625
58,58,5.710237718137348,0.5234375
28,28,5.7124279218191605,0.53125
119,119,5.7126270312447796,0.5390625
108,108,5.715709365429069,0.546875
82,82,5.716223522993117,0.5546875
16,16,5.716429467618736,0.5625
50,50,5.717459190746832,0.5703125
106,106,5.717562867059642,0.578125
68,68,5.718592590187738,0.5859375
59,59,5.718902083126166,0.59375
51,51,5.719505047740183,0.6015625
80,80,5.720913492720786,0.609375
107,107,5.720996701833596,0.6171875
14,14,5.721825469298852,0.625
4,4,5.72232354203855,0.6328125
81,81,5.725555394550945,0.640625
49,49,5.7270537464152085,0.6484375
52,52,5.7296533714426765,0.65625
13,13,5.732821293380679,0.6640625
126,126,5.733273853657537,0.671875
69,69,5.735773491493065,0.6796875
90,90,5.735921221718684,0.6875
70,70,5.736068951944303,0.6953125
89,88,5.823712775006022,0.703125
121,121,5.824694026272543,0.7109375
54,54,5.825297439975018,0.71875
24,24,5.826956827656824,0.7265625
115,115,5.827107681082443,0.734375
38,38,5.828389231200202,0.7421875
104,104,5.829370482466723,0.75
78,78,5.82974691203077,0.7578125
102,102,5.830728163297292,0.765625
64,64,5.831482430425385,0.7734375
55,55,5.831708006563813,0.78125
76,76,5.833427371358444,0.7890625
103,103,5.833502362871254,0.796875
1,0,5.834697721476209,0.8046875
77,77,5.837704857188606,0.8125
7,7,5.840374078536948,0.8203125
87,87,5.84429521800305,0.828125
9,9,5.844972292018336,0.8359375
122,122,5.845422548295193,0.84375
8,8,5.8477026973666675,0.8515625
65,65,5.848114800530714,0.859375
86,86,5.848278965956334,0.8671875
67,66,5.848443131381953,0.875
15,15,5.852242511503123,0.8828125
91,91,5.866011087670439,0.890625
11,11,5.870141304074948,0.8984375
12,12,5.87432568639229,0.90625
42,42,5.874629409586908,0.9140625
46,46,5.878257842971199,0.921875
6,6,5.8797635530069865,0.9296875
10,10,5.879866934677369,0.9375
45,45,5.883513675450339,0.9453125
47,47,5.895697175623243,0.953125
48,48,5.9068713223728375,0.9609375
44,44,5.909597088485207,0.96875
43,43,5.9263040004958345,0.9765625
39,39,5.982476596019705,0.984375
41,41,5.983409721361616,0.9921875
40,40,6.013055069621679,1.0
